650	CHOICE_TRACK	4407	Porosity	RANGE	1	8	0=3%	1=6%	2=9%	3=12%	4=15%	5=18%	6=21%	7=24%	
770.5	CHOICE_DATUM	4414	770.5	771.5	1	2									
771.5	CHOICE_DATUM	4414	771.5	778	2										
785	CHOICE_DATUM	4414	785	785.5	1	2	3								
785.5	CHOICE_DATUM	4414	785.5	786.5	1	2									
786.5	CHOICE_DATUM	4414	786.5	793	2										
800	CHOICE_DATUM	4414	800	801	1	2									
801	CHOICE_DATUM	4414	801	806	2										
820	CHOICE_DATUM	4414	820	821	1	2									
821	CHOICE_DATUM	4414	821	826	2										
840	CHOICE_DATUM	4414	840	840.5	1	2	3								
840.5	CHOICE_DATUM	4414	840.5	841.5	1	2									
841.5	CHOICE_DATUM	4414	841.5	848	2										
880	CHOICE_DATUM	4414	880	880.5	1	2	3								
880.5	CHOICE_DATUM	4414	880.5	882	1	2									
882	CHOICE_DATUM	4414	882	887.5	2										
920	CHOICE_DATUM	4414	920	920.5	1	2	3								
920.5	CHOICE_DATUM	4414	920.5	921.5	1	2									
921.5	CHOICE_DATUM	4414	921.5	928	2										
1000	CHOICE_DATUM	4414	1000	1000.5	1	2	3								
1000.5	CHOICE_DATUM	4414	1000.5	1001	1	2									
1001	CHOICE_DATUM	4414	1001	1008.5	2										
1040	CHOICE_DATUM	4414	1040	1040.5	1	2	3								
1040.5	CHOICE_DATUM	4414	1040.5	1041.5	1	2									
1041.5	CHOICE_DATUM	4414	1041.5	1048	2										
1080	CHOICE_DATUM	4414	1080	1081.5	1	2									
1081.5	CHOICE_DATUM	4414	1081.5	1089	2										
1120	CHOICE_DATUM	4414	1120	1121.5	1	2									
1121.5	CHOICE_DATUM	4414	1121.5	1128.5	2										
1160	CHOICE_DATUM	4414	1160	1160.5	1	2	3								
1160.5	CHOICE_DATUM	4414	1160.5	1161	1	2									
1161	CHOICE_DATUM	4414	1161	1168.5	2										
1200	CHOICE_DATUM	4414	1200	1201.5	0	1	2								
1201.5	CHOICE_DATUM	4414	1201.5	1202	1	2									
1202	CHOICE_DATUM	4414	1202	1206.5	2										
1240	CHOICE_DATUM	4414	1240	1240.5	1	2	3								
1240.5	CHOICE_DATUM	4414	1240.5	1241.5	1	2									
1241.5	CHOICE_DATUM	4414	1241.5	1248	2										
1280	CHOICE_DATUM	4414	1280	1280.5	1	2	3								
1280.5	CHOICE_DATUM	4414	1280.5	1281.5	1	2									
1281.5	CHOICE_DATUM	4414	1281.5	1288	2										
1360	CHOICE_DATUM	4414	1360	1361	0	1	2								
1361	CHOICE_DATUM	4414	1361	1363	0	2									
1363	CHOICE_DATUM	4414	1363	1366	0										
1400	CHOICE_DATUM	4414	1400	1401	0	1	2								
1401	CHOICE_DATUM	4414	1401	1401.5	0	2									
1401.5	CHOICE_DATUM	4414	1401.5	1408.5	2										
1440	CHOICE_DATUM	4414	1440	1440.5	0	1	2	3							
1440.5	CHOICE_DATUM	4414	1440.5	1441	0	1	2								
1441	CHOICE_DATUM	4414	1441	1441.5	1	2									
1441.5	CHOICE_DATUM	4414	1441.5	1447	2										
1480	CHOICE_DATUM	4414	1480	1480.5	0	1	2	3							
1480.5	CHOICE_DATUM	4414	1480.5	1481.5	1	2									
1481.5	CHOICE_DATUM	4414	1481.5	1487.5	2										
1520	CHOICE_DATUM	4414	1520	1520.5	1	2	3								
1520.5	CHOICE_DATUM	4414	1520.5	1522	1	2									
1522	CHOICE_DATUM	4414	1522	1527.5	2										
1560	CHOICE_DATUM	4414	1560	1560.5	1	2	3								
1560.5	CHOICE_DATUM	4414	1560.5	1561.5	1	2									
1561.5	CHOICE_DATUM	4414	1561.5	1567.5	2										
1600	CHOICE_DATUM	4414	1600	1600.5	1	2	3								
1600.5	CHOICE_DATUM	4414	1600.5	1601.5	1	2									
1601.5	CHOICE_DATUM	4414	1601.5	1608	2										
1640	CHOICE_DATUM	4414	1640	1640.5	1	2	3								
1640.5	CHOICE_DATUM	4414	1640.5	1641.5	1	2									
1641.5	CHOICE_DATUM	4414	1641.5	1648	2										
1680	CHOICE_DATUM	4414	1680	1680.5	1	2	3								
1680.5	CHOICE_DATUM	4414	1680.5	1681.5	1	2									
1681.5	CHOICE_DATUM	4414	1681.5	1688	2										
1720	CHOICE_DATUM	4414	1720	1720.5	1	2	3								
1720.5	CHOICE_DATUM	4414	1720.5	1721.5	1	2									
1721.5	CHOICE_DATUM	4414	1721.5	1728	2										
1760	CHOICE_DATUM	4414	1760	1760.5	1	2	3								
1760.5	CHOICE_DATUM	4414	1760.5	1761.5	1	2									
1761.5	CHOICE_DATUM	4414	1761.5	1768	2										
1800	CHOICE_DATUM	4414	1800	1800.5	1	2	3								
1800.5	CHOICE_DATUM	4414	1800.5	1801.5	1	2									
1801.5	CHOICE_DATUM	4414	1801.5	1808	2										
1840	CHOICE_DATUM	4414	1840	1840.5	1	2	3								
1840.5	CHOICE_DATUM	4414	1840.5	1841	1	2									
1841	CHOICE_DATUM	4414	1841	1848.5	2										
1880	CHOICE_DATUM	4414	1880	1880.5	1	2	3								
1880.5	CHOICE_DATUM	4414	1880.5	1881.5	1	2									
1881.5	CHOICE_DATUM	4414	1881.5	1888	2										
1920	CHOICE_DATUM	4414	1920	1920.5	1	2	3								
1920.5	CHOICE_DATUM	4414	1920.5	1921.5	1	2									
1921.5	CHOICE_DATUM	4414	1921.5	1928	2										
1960	CHOICE_DATUM	4414	1960	1960.5	1	2	3								
1960.5	CHOICE_DATUM	4414	1960.5	1961.5	1	2									
1961.5	CHOICE_DATUM	4414	1961.5	1968	2										
2000	CHOICE_DATUM	4414	2000	2000.5	1	2	3								
2000.5	CHOICE_DATUM	4414	2000.5	2001.5	1	2									
2001.5	CHOICE_DATUM	4414	2001.5	2008	2										
2040	CHOICE_DATUM	4414	2040	2040.5	1	2	3								
2040.5	CHOICE_DATUM	4414	2040.5	2041.5	1	2									
2041.5	CHOICE_DATUM	4414	2041.5	2048	2										
2080	CHOICE_DATUM	4414	2080	2080.5	1	2	3								
2080.5	CHOICE_DATUM	4414	2080.5	2081.5	1	2									
2081.5	CHOICE_DATUM	4414	2081.5	2088	2										
2120	CHOICE_DATUM	4414	2120	2120.5	1	2	3								
2120.5	CHOICE_DATUM	4414	2120.5	2121.5	1	2									
2121.5	CHOICE_DATUM	4414	2121.5	2128	2										
2160	CHOICE_DATUM	4414	2160	2160.5	1	2	3								
2160.5	CHOICE_DATUM	4414	2160.5	2161.5	1	2									
2161.5	CHOICE_DATUM	4414	2161.5	2168	2										
2200	CHOICE_DATUM	4414	2200	2200.5	1	2	3								
2200.5	CHOICE_DATUM	4414	2200.5	2201.5	1	2									
2201.5	CHOICE_DATUM	4414	2201.5	2208	2										
2240	CHOICE_DATUM	4414	2240	2240.5	1	2	3								
2240.5	CHOICE_DATUM	4414	2240.5	2241.5	1	2									
2241.5	CHOICE_DATUM	4414	2241.5	2248	2										
2280	CHOICE_DATUM	4414	2280	2281	1	2									
2281	CHOICE_DATUM	4414	2281	2289	2										
2320	CHOICE_DATUM	4414	2320	2322	1	2									
2322	CHOICE_DATUM	4414	2322	2328	2										
2360	CHOICE_DATUM	4414	2360	2361.5	1	2									
2361.5	CHOICE_DATUM	4414	2361.5	2368.5	2										
2400	CHOICE_DATUM	4414	2400	2400.5	1	2	3								
2400.5	CHOICE_DATUM	4414	2400.5	2401.5	1	2									
2401.5	CHOICE_DATUM	4414	2401.5	2408	2										
2440	CHOICE_DATUM	4414	2440	2441.5	1	2									
2441.5	CHOICE_DATUM	4414	2441.5	2448.5	2										
															
650	CHOICE_TRACK	4416	Rounding	DEPTH	1	5	72632=SUBANG-SUBRND	2600=ROUNDED	2601=SUBRND	2602=SUBANG	2603=ANGULAR				
694.578	CHOICE_DATUM	4416	694.578	72632											
709.392	CHOICE_DATUM	4416	709.392	72632											
730.118	CHOICE_DATUM	4416	730.118	72632											
744.87	CHOICE_DATUM	4416	744.87	72632											
755.051	CHOICE_DATUM	4416	755.051	72632											
769.01	CHOICE_DATUM	4416	769.01	72632											
784.677	CHOICE_DATUM	4416	784.677	72632											
800.161	CHOICE_DATUM	4416	800.161	72632											
819.973	CHOICE_DATUM	4416	819.973	72632											
839.785	CHOICE_DATUM	4416	839.785	72632											
879.775	CHOICE_DATUM	4416	879.775	72632											
919.46	CHOICE_DATUM	4416	919.46	72632											
999.683	CHOICE_DATUM	4416	999.683	72632											
1039.795	CHOICE_DATUM	4416	1039.795	72632											
1079.906	CHOICE_DATUM	4416	1079.906	72632											
1119.835	CHOICE_DATUM	4416	1119.835	72632											
1159.642	CHOICE_DATUM	4416	1159.642	72632											
1199.937	CHOICE_DATUM	4416	1199.937	72632											
1239.744	CHOICE_DATUM	4416	1239.744	72632											
1279.855	CHOICE_DATUM	4416	1279.855	72632											
1319.723	CHOICE_DATUM	4416	1319.723	72632											
1359.957	CHOICE_DATUM	4416	1359.957	72632											
1399.703	CHOICE_DATUM	4416	1399.703	72632											
1440.119	CHOICE_DATUM	4416	1440.119	72632											
1479.804	CHOICE_DATUM	4416	1479.804	72632											
1519.733	CHOICE_DATUM	4416	1519.733	72632											
1559.662	CHOICE_DATUM	4416	1559.662	72632											
1599.895	CHOICE_DATUM	4416	1599.895	72632											
1639.275	CHOICE_DATUM	4416	1639.275	72632											
1679.875	CHOICE_DATUM	4416	1679.875	72632											
1719.682	CHOICE_DATUM	4416	1719.682	72632											
1759.61	CHOICE_DATUM	4416	1759.61	72632											
1799.722	CHOICE_DATUM	4416	1799.722	72632											
1839.468	CHOICE_DATUM	4416	1839.468	72632											
1879.702	CHOICE_DATUM	4416	1879.702	72632											
1919.813	CHOICE_DATUM	4416	1919.813	72632											
1959.376	CHOICE_DATUM	4416	1959.376	72632											
1999.488	CHOICE_DATUM	4416	1999.488	72632											
2039.661	CHOICE_DATUM	4416	2039.661	72632											
2079.711	CHOICE_DATUM	4416	2079.711	72632											
2119.823	CHOICE_DATUM	4416	2119.823	72632											
2159.691	CHOICE_DATUM	4416	2159.691	72632											
2199.376	CHOICE_DATUM	4416	2199.376	72632											
2239.548	CHOICE_DATUM	4416	2239.548	72632											
2279.843	CHOICE_DATUM	4416	2279.843	72632											
2319.833	CHOICE_DATUM	4416	2319.833	72632											
2359.762	CHOICE_DATUM	4416	2359.762	72632											
2399.812	CHOICE_DATUM	4416	2399.812	72632											
2439.924	CHOICE_DATUM	4416	2439.924	72632											
															
650	CHOICE_TRACK	4415	Sorting	DEPTH	1	4	72631=Mod Well	2400=WELL	2401=MODERATE	2402=POOR					
694.639	CHOICE_DATUM	4415	694.639	2400											
709.94	CHOICE_DATUM	4415	709.94	2400											
730.24	CHOICE_DATUM	4415	730.24	2400											
744.931	CHOICE_DATUM	4415	744.931	2400											
755.233	CHOICE_DATUM	4415	755.233	2400											
769.01	CHOICE_DATUM	4415	769.01	2400											
784.982	CHOICE_DATUM	4415	784.982	2400											
800.283	CHOICE_DATUM	4415	800.283	2400											
819.912	CHOICE_DATUM	4415	819.912	2400											
839.907	CHOICE_DATUM	4415	839.907	2400											
880.08	CHOICE_DATUM	4415	880.08	2400											
919.886	CHOICE_DATUM	4415	919.886	2400											
999.683	CHOICE_DATUM	4415	999.683	2400											
1039.856	CHOICE_DATUM	4415	1039.856	2400											
1080.15	CHOICE_DATUM	4415	1080.15	2400											
1119.957	CHOICE_DATUM	4415	1119.957	2400											
1159.825	CHOICE_DATUM	4415	1159.825	2400											
1239.926	CHOICE_DATUM	4415	1239.926	2400											
1280.282	CHOICE_DATUM	4415	1280.282	2400											
1319.906	CHOICE_DATUM	4415	1319.906	2400											
1360.079	CHOICE_DATUM	4415	1360.079	2400											
1399.764	CHOICE_DATUM	4415	1399.764	2400											
1439.875	CHOICE_DATUM	4415	1439.875	2400											
1479.743	CHOICE_DATUM	4415	1479.743	2400											
1519.916	CHOICE_DATUM	4415	1519.916	2400											
1559.905	CHOICE_DATUM	4415	1559.905	2400											
1599.895	CHOICE_DATUM	4415	1599.895	2400											
1639.641	CHOICE_DATUM	4415	1639.641	2400											
1679.875	CHOICE_DATUM	4415	1679.875	2400											
1719.925	CHOICE_DATUM	4415	1719.925	2400											
1759.793	CHOICE_DATUM	4415	1759.793	2400											
1799.722	CHOICE_DATUM	4415	1799.722	2400											
1839.834	CHOICE_DATUM	4415	1839.834	2400											
1879.884	CHOICE_DATUM	4415	1879.884	2400											
1920.301	CHOICE_DATUM	4415	1920.301	2400											
1959.681	CHOICE_DATUM	4415	1959.681	2400											
1999.671	CHOICE_DATUM	4415	1999.671	2400											
2040.026	CHOICE_DATUM	4415	2040.026	2400											
2079.955	CHOICE_DATUM	4415	2079.955	2400											
2119.884	CHOICE_DATUM	4415	2119.884	2400											
2160.057	CHOICE_DATUM	4415	2160.057	2400											
2199.742	CHOICE_DATUM	4415	2199.742	2400											
2239.914	CHOICE_DATUM	4415	2239.914	2400											
2280.026	CHOICE_DATUM	4415	2280.026	2400											
2319.833	CHOICE_DATUM	4415	2319.833	2400											
2359.884	CHOICE_DATUM	4415	2359.884	2400											
2399.812	CHOICE_DATUM	4415	2399.812	2400											
2439.924	CHOICE_DATUM	4415	2439.924	2400											
