650	CHOICE_TRACK	4407	Porosity	RANGE	1	8	0=3%	1=6%	2=9%	3=12%	4=15%	5=18%	6=21%	7=24%	
1854	CHOICE_DATUM	4407	1854	1867.5	4										13.5
1898.5	CHOICE_DATUM	4407	1898.5	1907.5	4										9
1916	CHOICE_DATUM	4407	1916	1920	4										4
1925.5	CHOICE_DATUM	4407	1925.5	1927	4										1.5
1944.5	CHOICE_DATUM	4407	1944.5	1949.5	4										5
1955	CHOICE_DATUM	4407	1955	1973	4										18
1978.5	CHOICE_DATUM	4407	1978.5	1984	4										5.5
2008.5	CHOICE_DATUM	4407	2008.5	2010.5	4										2
2016	CHOICE_DATUM	4407	2016	2024	4										8
2059.5	CHOICE_DATUM	4407	2059.5	2065.5	4										6
2071	CHOICE_DATUM	4407	2071	2082.5	4										11.5
2086.5	CHOICE_DATUM	4407	2086.5	2093.5	4										7
2142	CHOICE_DATUM	4407	2142	2157	4										15
2171	CHOICE_DATUM	4407	2171	2185	4										14
2195	CHOICE_DATUM	4407	2195	2200.5	4										5.5
2209.5	CHOICE_DATUM	4407	2209.5	2213.5	4										4
2224	CHOICE_DATUM	4407	2224	2230.5	4										6.5
2237.5	CHOICE_DATUM	4407	2237.5	2242.5	4										5
2256	CHOICE_DATUM	4407	2256	2259.5	4										3.5
2269.5	CHOICE_DATUM	4407	2269.5	2280.5	4										11
2301.5	CHOICE_DATUM	4407	2301.5	2304	4										2.5
2311	CHOICE_DATUM	4407	2311	2313	4										2
2322.5	CHOICE_DATUM	4407	2322.5	2330	4										7.5
2335	CHOICE_DATUM	4407	2335	2339	4										4
2348.5	CHOICE_DATUM	4407	2348.5	2351	4										2.5
2358.5	CHOICE_DATUM	4407	2358.5	2362	4										3.5
2375	CHOICE_DATUM	4407	2375	2377.5	4										2.5
2392	CHOICE_DATUM	4407	2392	2396.5	4										4.5
2410.5	CHOICE_DATUM	4407	2410.5	2411	4										0.5
2417	CHOICE_DATUM	4407	2417	2420	4										3
2421.5	CHOICE_DATUM	4407	2421.5	2422	4										0.5
2438.5	CHOICE_DATUM	4407	2438.5	2441.5	4										3
2448	CHOICE_DATUM	4407	2448	2460	4										12
1013	CHOICE_DATUM	4407	1013	1015.5	3										2.5
1070.5	CHOICE_DATUM	4407	1070.5	1075	3										4.5
1111.5	CHOICE_DATUM	4407	1111.5	1119	3										7.5
1180	CHOICE_DATUM	4407	1180	1182.5	3										2.5
1183.5	CHOICE_DATUM	4407	1183.5	1184	3										0.5
1184.5	CHOICE_DATUM	4407	1184.5	1185	3										0.5
1185.5	CHOICE_DATUM	4407	1185.5	1187	3										1.5
1187.5	CHOICE_DATUM	4407	1187.5	1194.5	3										7
1202	CHOICE_DATUM	4407	1202	1207.5	3										5.5
1208.5	CHOICE_DATUM	4407	1208.5	1209.5	3										1
1210.5	CHOICE_DATUM	4407	1210.5	1211.5	3										1
1212.5	CHOICE_DATUM	4407	1212.5	1213.5	3										1
1214.5	CHOICE_DATUM	4407	1214.5	1219	3										4.5
1231	CHOICE_DATUM	4407	1231	1235	3										4
1236	CHOICE_DATUM	4407	1236	1240.5	3										4.5
1256.5	CHOICE_DATUM	4407	1256.5	1261	3										4.5
1262	CHOICE_DATUM	4407	1262	1270	3										8
1309.5	CHOICE_DATUM	4407	1309.5	1311	3										1.5
1322	CHOICE_DATUM	4407	1322	1324.5	3										2.5
1327	CHOICE_DATUM	4407	1327	1328	3										1
1329.5	CHOICE_DATUM	4407	1329.5	1330.5	3										1
1332.5	CHOICE_DATUM	4407	1332.5	1341.5	3										9
1353.5	CHOICE_DATUM	4407	1353.5	1357	3										3.5
1362	CHOICE_DATUM	4407	1362	1363	3										1
1365.5	CHOICE_DATUM	4407	1365.5	1366.5	3										1
1375	CHOICE_DATUM	4407	1375	1376.5	3										1.5
1396.5	CHOICE_DATUM	4407	1396.5	1397	3										0.5
1405	CHOICE_DATUM	4407	1405	1410.5	3										5.5
1413.5	CHOICE_DATUM	4407	1413.5	1419.5	3										6
1450	CHOICE_DATUM	4407	1450	1451.5	3										1.5
1452	CHOICE_DATUM	4407	1452	1452.5	3										0.5
1453	CHOICE_DATUM	4407	1453	1457	3										4
1464.5	CHOICE_DATUM	4407	1464.5	1467.5	3										3
1479	CHOICE_DATUM	4407	1479	1491	3										12
1514	CHOICE_DATUM	4407	1514	1521.5	3										7.5
1522	CHOICE_DATUM	4407	1522	1522.5	3										0.5
1525	CHOICE_DATUM	4407	1525	1526	3										1
1527	CHOICE_DATUM	4407	1527	1536	3										9
1603.5	CHOICE_DATUM	4407	1603.5	1609	3										5.5
1620	CHOICE_DATUM	4407	1620	1624.5	3										4.5
1631	CHOICE_DATUM	4407	1631	1636	3										5
1640	CHOICE_DATUM	4407	1640	1653	3										13
1691.5	CHOICE_DATUM	4407	1691.5	1701	3										9.5
1704.5	CHOICE_DATUM	4407	1704.5	1709.5	3										5
1779.5	CHOICE_DATUM	4407	1779.5	1781.5	3										2
1786	CHOICE_DATUM	4407	1786	1791.5	3										5.5
1927	CHOICE_DATUM	4407	1927	1931	3										4
1939	CHOICE_DATUM	4407	1939	1944.5	3										5.5
1949.5	CHOICE_DATUM	4407	1949.5	1955	3										5.5
1984	CHOICE_DATUM	4407	1984	1984.5	3										0.5
1994.5	CHOICE_DATUM	4407	1994.5	1999.5	3										5
2005.5	CHOICE_DATUM	4407	2005.5	2008.5	3										3
2024	CHOICE_DATUM	4407	2024	2035	3										11
2040	CHOICE_DATUM	4407	2040	2041	3										1
2042	CHOICE_DATUM	4407	2042	2043	3										1
2044	CHOICE_DATUM	4407	2044	2059.5	3										15.5
2093.5	CHOICE_DATUM	4407	2093.5	2104	3										10.5
2120	CHOICE_DATUM	4407	2120	2124	3										4
2124.5	CHOICE_DATUM	4407	2124.5	2127.5	3										3
2128	CHOICE_DATUM	4407	2128	2128.5	3										0.5
2129	CHOICE_DATUM	4407	2129	2130	3										1
2131	CHOICE_DATUM	4407	2131	2132.5	3										1.5
2133	CHOICE_DATUM	4407	2133	2142	3										9
2185	CHOICE_DATUM	4407	2185	2187	3										2
2187.5	CHOICE_DATUM	4407	2187.5	2188.5	3										1
2189	CHOICE_DATUM	4407	2189	2190.5	3										1.5
2191	CHOICE_DATUM	4407	2191	2192.5	3										1.5
2193	CHOICE_DATUM	4407	2193	2195	3										2
2213.5	CHOICE_DATUM	4407	2213.5	2216	3										2.5
2216.5	CHOICE_DATUM	4407	2216.5	2217.5	3										1
2218.5	CHOICE_DATUM	4407	2218.5	2219	3										0.5
2220	CHOICE_DATUM	4407	2220	2224	3										4
2242.5	CHOICE_DATUM	4407	2242.5	2248.5	3										6
2253.5	CHOICE_DATUM	4407	2253.5	2254.5	3										1
2255.5	CHOICE_DATUM	4407	2255.5	2256	3										0.5
2259.5	CHOICE_DATUM	4407	2259.5	2261	3										1.5
2264.5	CHOICE_DATUM	4407	2264.5	2269.5	3										5
2280.5	CHOICE_DATUM	4407	2280.5	2301.5	3										21
2313	CHOICE_DATUM	4407	2313	2322.5	3										9.5
2339	CHOICE_DATUM	4407	2339	2343	3										4
2346	CHOICE_DATUM	4407	2346	2348.5	3										2.5
2362	CHOICE_DATUM	4407	2362	2371.5	3										9.5
2372	CHOICE_DATUM	4407	2372	2375	3										3
2377.5	CHOICE_DATUM	4407	2377.5	2378.5	3										1
2381.5	CHOICE_DATUM	4407	2381.5	2382	3										0.5
2385	CHOICE_DATUM	4407	2385	2385.5	3										0.5
2388	CHOICE_DATUM	4407	2388	2392	3										4
2396.5	CHOICE_DATUM	4407	2396.5	2397	3										0.5
2400	CHOICE_DATUM	4407	2400	2410.5	3										10.5
2420	CHOICE_DATUM	4407	2420	2421.5	3										1.5
2423	CHOICE_DATUM	4407	2423	2423.5	3										0.5
2429.5	CHOICE_DATUM	4407	2429.5	2431.5	3										2
2432	CHOICE_DATUM	4407	2432	2435	3										3
2435.5	CHOICE_DATUM	4407	2435.5	2438.5	3										3
1034.5	CHOICE_DATUM	4407	1034.5	1035	2										0.5
1040.5	CHOICE_DATUM	4407	1040.5	1041	2										0.5
1050.5	CHOICE_DATUM	4407	1050.5	1051	2										0.5
1119	CHOICE_DATUM	4407	1119	1119.5	2										0.5
1158	CHOICE_DATUM	4407	1158	1158.5	2										0.5
1164	CHOICE_DATUM	4407	1164	1164.5	2										0.5
1261	CHOICE_DATUM	4407	1261	1261.5	2										0.5
1311	CHOICE_DATUM	4407	1311	1322	2										11
1328	CHOICE_DATUM	4407	1328	1329.5	2										1.5
1341.5	CHOICE_DATUM	4407	1341.5	1353.5	2										12
1363	CHOICE_DATUM	4407	1363	1365.5	2										2.5
1376.5	CHOICE_DATUM	4407	1376.5	1378	2										1.5
1396	CHOICE_DATUM	4407	1396	1396.5	2										0.5
1410.5	CHOICE_DATUM	4407	1410.5	1413.5	2										3
1475	CHOICE_DATUM	4407	1475	1475.5	2										0.5
1478.5	CHOICE_DATUM	4407	1478.5	1479	2										0.5
1491	CHOICE_DATUM	4407	1491	1499.5	2										8.5
1506	CHOICE_DATUM	4407	1506	1507	2										1
1510.5	CHOICE_DATUM	4407	1510.5	1514	2										3.5
1522.5	CHOICE_DATUM	4407	1522.5	1523	2										0.5
1524.5	CHOICE_DATUM	4407	1524.5	1525	2										0.5
1701	CHOICE_DATUM	4407	1701	1701.5	2										0.5
1931	CHOICE_DATUM	4407	1931	1931.5	2										0.5
1938.5	CHOICE_DATUM	4407	1938.5	1939	2										0.5
1984.5	CHOICE_DATUM	4407	1984.5	1988.5	2										4
1993	CHOICE_DATUM	4407	1993	1994.5	2										1.5
1999.5	CHOICE_DATUM	4407	1999.5	2001	2										1.5
2003.5	CHOICE_DATUM	4407	2003.5	2005.5	2										2
2035	CHOICE_DATUM	4407	2035	2039.5	2										4.5
2104	CHOICE_DATUM	4407	2104	2106.5	2										2.5
2107	CHOICE_DATUM	4407	2107	2108	2										1
2108.5	CHOICE_DATUM	4407	2108.5	2109.5	2										1
2110	CHOICE_DATUM	4407	2110	2111.5	2										1.5
2112	CHOICE_DATUM	4407	2112	2113.5	2										1.5
2114	CHOICE_DATUM	4407	2114	2120	2										6
2132.5	CHOICE_DATUM	4407	2132.5	2133	2										0.5
2248.5	CHOICE_DATUM	4407	2248.5	2249	2										0.5
2249.5	CHOICE_DATUM	4407	2249.5	2250	2										0.5
2251	CHOICE_DATUM	4407	2251	2251.5	2										0.5
2252.5	CHOICE_DATUM	4407	2252.5	2253	2										0.5
2378.5	CHOICE_DATUM	4407	2378.5	2379	2										0.5
2383	CHOICE_DATUM	4407	2383	2383.5	2										0.5
2399	CHOICE_DATUM	4407	2399	2400	2										1
2423.5	CHOICE_DATUM	4407	2423.5	2425.5	2										2
2426.5	CHOICE_DATUM	4407	2426.5	2429.5	2										3
1035.5	CHOICE_DATUM	4407	1035.5	1036	1										0.5
1041	CHOICE_DATUM	4407	1041	1041.5	1										0.5
1183	CHOICE_DATUM	4407	1183	1183.5	1										0.5
1184	CHOICE_DATUM	4407	1184	1184.5	1										0.5
1187	CHOICE_DATUM	4407	1187	1187.5	1										0.5
1208	CHOICE_DATUM	4407	1208	1208.5	1										0.5
1210	CHOICE_DATUM	4407	1210	1210.5	1										0.5
1212	CHOICE_DATUM	4407	1212	1212.5	1										0.5
1214	CHOICE_DATUM	4407	1214	1214.5	1										0.5
1235.5	CHOICE_DATUM	4407	1235.5	1236	1										0.5
1475.5	CHOICE_DATUM	4407	1475.5	1478.5	1										3
1499.5	CHOICE_DATUM	4407	1499.5	1506	1										6.5
1507	CHOICE_DATUM	4407	1507	1510.5	1										3.5
1521.5	CHOICE_DATUM	4407	1521.5	1522	1										0.5
1523	CHOICE_DATUM	4407	1523	1524.5	1										1.5
1526	CHOICE_DATUM	4407	1526	1527	1										1
1624.5	CHOICE_DATUM	4407	1624.5	1625.5	1										1
1629.5	CHOICE_DATUM	4407	1629.5	1631	1										1.5
1701.5	CHOICE_DATUM	4407	1701.5	1702	1										0.5
1703.5	CHOICE_DATUM	4407	1703.5	1704.5	1										1
1781.5	CHOICE_DATUM	4407	1781.5	1782	1										0.5
1784.5	CHOICE_DATUM	4407	1784.5	1786	1										1.5
1931.5	CHOICE_DATUM	4407	1931.5	1932	1										0.5
1934.5	CHOICE_DATUM	4407	1934.5	1935	1										0.5
1938	CHOICE_DATUM	4407	1938	1938.5	1										0.5
1988.5	CHOICE_DATUM	4407	1988.5	1989.5	1										1
1992.5	CHOICE_DATUM	4407	1992.5	1993	1										0.5
2001	CHOICE_DATUM	4407	2001	2001.5	1										0.5
2003	CHOICE_DATUM	4407	2003	2003.5	1										0.5
2041	CHOICE_DATUM	4407	2041	2041.5	1										0.5
2043	CHOICE_DATUM	4407	2043	2043.5	1										0.5
2106.5	CHOICE_DATUM	4407	2106.5	2107	1										0.5
2108	CHOICE_DATUM	4407	2108	2108.5	1										0.5
2109.5	CHOICE_DATUM	4407	2109.5	2110	1										0.5
2113.5	CHOICE_DATUM	4407	2113.5	2114	1										0.5
2127.5	CHOICE_DATUM	4407	2127.5	2128	1										0.5
2130	CHOICE_DATUM	4407	2130	2131	1										1
2187	CHOICE_DATUM	4407	2187	2187.5	1										0.5
2188.5	CHOICE_DATUM	4407	2188.5	2189	1										0.5
2190.5	CHOICE_DATUM	4407	2190.5	2191	1										0.5
2192.5	CHOICE_DATUM	4407	2192.5	2193	1										0.5
2217.5	CHOICE_DATUM	4407	2217.5	2218.5	1										1
2219	CHOICE_DATUM	4407	2219	2219.5	1										0.5
2249	CHOICE_DATUM	4407	2249	2249.5	1										0.5
2251.5	CHOICE_DATUM	4407	2251.5	2252	1										0.5
2254.5	CHOICE_DATUM	4407	2254.5	2255.5	1										1
2261	CHOICE_DATUM	4407	2261	2262	1										1
2263.5	CHOICE_DATUM	4407	2263.5	2264.5	1										1
2343	CHOICE_DATUM	4407	2343	2344	1										1
2345	CHOICE_DATUM	4407	2345	2346	1										1
2379	CHOICE_DATUM	4407	2379	2380	1										1
2381	CHOICE_DATUM	4407	2381	2381.5	1										0.5
2383.5	CHOICE_DATUM	4407	2383.5	2384	1										0.5
2385.5	CHOICE_DATUM	4407	2385.5	2386	1										0.5
2387	CHOICE_DATUM	4407	2387	2388	1										1
2397	CHOICE_DATUM	4407	2397	2398.5	1										1.5
2426	CHOICE_DATUM	4407	2426	2426.5	1										0.5
1012.5	CHOICE_DATUM	4407	1012.5	1013	0										0.5
1034	CHOICE_DATUM	4407	1034	1034.5	0										0.5
1050	CHOICE_DATUM	4407	1050	1050.5	0										0.5
1056	CHOICE_DATUM	4407	1056	1056.5	0										0.5
1119.5	CHOICE_DATUM	4407	1119.5	1120	0										0.5
1157.5	CHOICE_DATUM	4407	1157.5	1158	0										0.5
1182.5	CHOICE_DATUM	4407	1182.5	1183	0										0.5
1185	CHOICE_DATUM	4407	1185	1185.5	0										0.5
1207.5	CHOICE_DATUM	4407	1207.5	1208	0										0.5
1209.5	CHOICE_DATUM	4407	1209.5	1210	0										0.5
1211.5	CHOICE_DATUM	4407	1211.5	1212	0										0.5
1213.5	CHOICE_DATUM	4407	1213.5	1214	0										0.5
1235	CHOICE_DATUM	4407	1235	1235.5	0										0.5
1261.5	CHOICE_DATUM	4407	1261.5	1262	0										0.5
